filename,true,predicted,confidence,correct
Shirts/pixel-studios-teDbtpEoeJA-unsplash.jpg,Shirts,Jeans,0.2083,False
Shirts/robert-richman-vcTKFYNZop4-unsplash.jpg,Shirts,Backpacks,0.7611,False
Shirts/uji-kanggo-gumilang-G5huvwgdYhc-unsplash.jpg,Shirts,Briefs,0.2169,False
Shorts/antonio-araujo-ViYFhC5McZQ-unsplash.jpg,Shorts,Wallets,0.4881,False
Shorts/engin-akyurt-Hd4nlxLgIbA-unsplash.jpg,Shorts,Skirts,0.8471,False
Shorts/laura-chouette-zU8hYK_yWLI-unsplash.jpg,Shorts,Trunk,0.1613,False
Shorts/tamara-bellis-BGmVdP6thkU-unsplash.jpg,Shorts,Socks,0.2912,False
Shorts/tamara-bellis-jYdRUFgba8k-unsplash.jpg,Shorts,Handbags,0.1951,False
Sports Shoes/daniel-storek-JM-qKEd1GMI-unsplash.jpg,Sports Shoes,Wallets,0.1489,False
Sports Shoes/imani-bahati-LxVxPA1LOVM-unsplash.jpg,Sports Shoes,Dresses,0.505,False
Sports Shoes/luis-felipe-lins-LG88A2XgIXY-unsplash.jpg,Sports Shoes,Handbags,0.4995,False
Sports Shoes/mana-akbarzadegan-kLnlaZJ4SMA-unsplash.jpg,Sports Shoes,Watches,0.5431,False
Sports Shoes/usama-akram-kP6knT7tjn4-unsplash.jpg,Sports Shoes,Flats,0.1004,False
Sunglasses/annie-williams-FlP6C5pkMKs-unsplash.jpg,Sunglasses,Casual Shoes,0.2544,False
Sunglasses/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,Sunglasses,Perfume and Body Mist,0.3459,False
Sunglasses/daniel-schludi-7J-ro9TbEp0-unsplash.jpg,Sunglasses,Lounge Tshirts,0.1126,False
Sunglasses/lucas-george-wendt-3xtCeUhqZWE-unsplash.jpg,Sunglasses,Handbags,0.2613,False
Sunglasses/sebastian-coman-travel-dtOTQYmTEs0-unsplash.jpg,Sunglasses,Handbags,0.45,False
Tshirts/ace-maxwell-FT2QbOnmcMU-unsplash.jpg,Tshirts,Shirts,0.2605,False
Tshirts/dj-tears-plk-AnfgcXYL6z8-unsplash.jpg,Tshirts,Watches,0.2547,False
Tshirts/ivett-m-ZZC_3gb7Qtc-unsplash.jpg,Tshirts,Trousers,0.4443,False
Tshirts/mediamodifier-7cERndkOyDw-unsplash.jpg,Tshirts,Handbags,0.6874,False
Tshirts/sadam-anwar-XYZYZXo531w-unsplash.jpg,Tshirts,Wallets,0.3802,False
Watches/fabian-heimann-4R_WEmhx8og-unsplash.jpg,Watches,Wallets,0.5175,False
Watches/john-torcasio-TJrkkhdB39E-unsplash.jpg,Watches,Handbags,0.8655,False
Watches/pat-taylor-12V36G17IbQ-unsplash.jpg,Watches,Capris,0.1902,False
Watches/ryan-waring-p2WUEFGrAdA-unsplash.jpg,Watches,Shirts,0.124,False
Watches/yash-parashar-LWPPpkn6NEQ-unsplash.jpg,Watches,Laptop Bag,0.1149,False
