id,articleType,review_status,proposed_action,reason,review_method
910021,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910022,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910023,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910024,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910025,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910026,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910027,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910028,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910029,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910030,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910031,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910032,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910033,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910034,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910035,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910036,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910037,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910038,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910039,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910040,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910041,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910042,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910043,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910044,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910045,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910046,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910047,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910048,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910049,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910050,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910051,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910052,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910053,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910054,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910055,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910056,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910057,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910058,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910059,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910060,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910061,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910062,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910063,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910064,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910065,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910066,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910067,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910068,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910069,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910070,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910071,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910072,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910073,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910074,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910075,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910076,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910077,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910078,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910079,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910080,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910081,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910082,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910083,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910084,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910085,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910086,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910087,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910088,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910089,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910090,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910091,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910092,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910093,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910094,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910095,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910096,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910097,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910098,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910099,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910100,Concealer,crop_review,hold_for_review,Background dominance or severe truncation/distortion makes the target hard to identify.,full_contact_sheet_screen
910101,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910102,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910103,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910104,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910105,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910106,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910107,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910108,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910109,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910110,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910111,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910112,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910113,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910114,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910115,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910116,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910117,Concealer,label_review,hold_for_review,Visible product appears inconsistent with the assigned class; verify original product and annotation.,full_contact_sheet_screen
910118,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910119,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910120,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910121,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910122,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910123,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910124,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910125,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910126,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910127,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910128,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910129,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910130,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910131,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910132,Concealer,crop_review,hold_for_review,Background dominance or severe truncation/distortion makes the target hard to identify.,full_contact_sheet_screen
910133,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910134,Concealer,crop_review,hold_for_review,Background dominance or severe truncation/distortion makes the target hard to identify.,full_contact_sheet_screen
910135,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910136,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910137,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910138,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910139,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910140,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910141,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910142,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910143,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910144,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910145,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910146,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910147,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910148,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910149,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910150,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910151,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910152,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910153,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910154,Concealer,crop_review,hold_for_review,Background dominance or severe truncation/distortion makes the target hard to identify.,full_contact_sheet_screen
910155,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910156,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910157,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910158,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910159,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910160,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910161,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910162,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910163,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910164,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910165,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910166,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910167,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910168,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910169,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910170,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910171,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910172,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910173,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910174,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910175,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910176,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910177,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910178,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910179,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910180,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910181,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910182,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910183,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910184,Concealer,label_review,hold_for_review,Visible product appears inconsistent with the assigned class; verify original product and annotation.,full_contact_sheet_screen
910185,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910186,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910187,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910188,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910189,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910190,Concealer,label_review,hold_for_review,Visible product appears inconsistent with the assigned class; verify original product and annotation.,full_contact_sheet_screen
910191,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910192,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910193,Concealer,crop_review,hold_for_review,Background dominance or severe truncation/distortion makes the target hard to identify.,full_contact_sheet_screen
910194,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910195,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910196,Concealer,crop_review,hold_for_review,Background dominance or severe truncation/distortion makes the target hard to identify.,full_contact_sheet_screen
910197,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910198,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910199,Concealer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910200,Foundation and Primer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910201,Foundation and Primer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910202,Foundation and Primer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910203,Foundation and Primer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910204,Foundation and Primer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910205,Foundation and Primer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910206,Foundation and Primer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910207,Foundation and Primer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910208,Foundation and Primer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910209,Foundation and Primer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910210,Foundation and Primer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910211,Foundation and Primer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910212,Foundation and Primer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910213,Foundation and Primer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910214,Foundation and Primer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910215,Foundation and Primer,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
